編號,序號,事業單位統一編號,事業單位,行業別,災害類型,罹災人數（數量）,業主,業主統一編號,工程名稱,場所（肇災處）,縣市,地址,勞動檢查機構,年度,發生日期,是否顯示於地圖,agencyCode
1,1,,宸茂營造有限公司,F營造業(),物體倒塌、崩塌,1,交通部高速公路局第二新建工程處,,國道高速公路後續路段橋梁耐震補強工程(區段1-1)第M37A標,P3橋墩擴座補強之圍堰及施工構台處,2277,,勞動部職業安全衛生署南區職業安全衛生中心,2018,2018-12-31,否,03
2,2,,潔泰企業有 限公司,N支援服務業(建築物一般清潔服務業),墜落、滾落,1,中台禪寺,,中台禪寺107年外 牆年度清洗工程,中台禪寺內天 井,,南投縣埔里鎮一 新里中台路2號,勞動部職業安全衛生署中區職業安全衛生中心,2018,2018-12-26,是,02
3,3,,莊○○(即晉發五金加工廠),C製造業(金屬表面處理業),感電,1,-,,-,M01電鍍槽作業區之交換水洗槽,,,勞動部職業安全衛生署南區職業安全衛生中心,2018,2018-12-26,否,03
4,4,84155127,華豐營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,興晟發有限公司,16910666,興晟發有限公司廠房新建工程,1樓西南側電梯,,臺南市安南區安新二路,勞動部職業安全衛生署南區職業安全衛生中心,2018,2018-12-25,是,03
5,5,,台爃窯業股份有限公司,C製造業(未分類其他非金屬礦物製品製造業),被夾、被捲,1,,,,,2275,,勞動部職業安全衛生署中區職業安全衛生中心,2018,2018-12-24,否,02
6,6,16933106,閎國工程有限公司,F營造業(建物完工裝修工程業),墜落、滾落,1,蘇○○,F222520367,舊屋修繕工程,地上2樓鋼構,2267,,新北市政府勞動檢查處,2018,2018-12-21,否,05
7,7,43632168,簡鄭OO(即桃興行) ,C製造業(未分類其他化學製品製造業),墜落、滾落,1,,,,桃園市蘆竹區新興街457號旁工廠,2268,,勞動部職業安全衛生署北區職業安全衛生中心,2018,2018-12-20,否,01
8,8,,櫂和昌建材有限公司,F營造業(建物完工裝修工程業),墜落、滾落,1,雲林縣四湖鄉四湖國民小學,,四湖國小活動中心防水隔熱工程,四湖國小活動中心,2275,雲林縣四湖鄉中山東路37號,勞動部職業安全衛生署中區職業安全衛生中心,2018,2018-12-20,是,02
9,9,84795518,新藯營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,威泰國際股份有限公司,53052131,威泰國際桃園區東國段382地號新建工程,A3棟3樓電梯井,,桃園市桃園區東國街10號旁工地,勞動部職業安全衛生署北區職業安全衛生中心,2018,2018-12-18,是,01
10,10,97254198,昌勉企業有限公司,F營造業(機電、電信及電路設備安裝業),物體飛落,1,台灣塑膠工業股份有限公司林園聚丙烯廠,75708007,PP廠設備管線拆清修改預約工程,製粒區4樓,2279,高雄市林園區石化一路1之1號,高雄市政府勞工局勞動檢查處,2018,2018-12-18,是,09
11,11,84660997,偉唐營造有限公司,F營造業(建築工程業),墜落、滾落,1,新合發冷凍食品股份有限公司,53031827,新合發冷凍食品股份有限公司2廠新建工程,建築物屋突層約3.4公尺施工,2283,宜蘭縣五結鄉利工2路77號,勞動部職業安全衛生署北區職業安全衛生中心,2018,2018-12-17,是,01
12,12,,廖○○,F營造業(其他專門營造業),墜落、滾落,1,新竹市東區水源國民小學,,107年度樂活運動站設施環境及器材設備採購,新竹市東區水源國民小學西棟大樓3樓樂活教室,2269,新竹市東區仰德路11號,勞動部職業安全衛生署北區職業安全衛生中心,2018,2018-12-13,是,01
13,13,36147160,吉昌橡膠工業有限公司 ,C製造業(工業用橡膠製品製造業),火災,1,,,,吉昌橡膠工業有限公司工廠2樓溶劑調和區,2268,,勞動部職業安全衛生署北區職業安全衛生中心,2018,2018-12-11,否,01
14,14,,交通部臺灣鐵路管理局,H運輸及倉儲業(鐵路運輸業),被撞,1,,,,臺北市中正區北平東路20號對面-台鐵6號緊急逃生出口（華山引道）,,臺北市中正區北平東路20號對面-台鐵6號緊急逃生出口（華山引道）,臺北市勞動檢查處,2018,2018-12-10,是,04
15,15,,宏釩有限公司,N支援服務業(其他清潔服務業),跌倒,1,臺灣臺中地方法院,,豐原簡易庭公共通行走道清潔除蠟、打蠟,臺中地方法院豐原簡易庭,2272,台中市潭子區豐興路一段139號,勞動部職業安全衛生署中區職業安全衛生中心,2018,2018-12-08,是,02
16,16,,新程發營造有限公司,F營造業(建築工程業),跌倒,1,王OO、王OO,,台東市順天段751之5地號新建工程,本工程B棟廚房處,2281,順天段751之5地號,勞動部職業安全衛生署南區職業安全衛生中心,2018,2018-12-06,是,03
17,17,,日商三菱商事台中工程事務所,D電力及燃氣供應業(電力供應業),被撞,1,台灣電力股份有限公司核能火力發電工程處中部施工處,,台中發電廠既有機組空污改善工程計畫第一至四號機空污防制系統改善工作設備採購與安裝案,台中發電廠2號機靜電除塵區,2272,臺中市龍井區龍昌路1號,勞動部職業安全衛生署中區職業安全衛生中心,2018,2018-12-05,是,02
18,18,,統勝機械工程有限公司,C製造業(產業用機械設備維修及安裝業),被撞,1,台灣電力股份有限公司核能火力發電工程處中部施工處,,台中發電廠既有機組空污改善工程計畫第一至四號機空污防制系統改善工作設備採購與安裝案,台中發電廠2號機靜電除塵區,,臺中市龍井區龍昌路1號,勞動部職業安全衛生署中區職業安全衛生中心,2018,2018-12-05,是,02
19,19,,李○○(即東山企業社),F營造業(其他專門營造業),物體飛落,1,鄭○○,,屏東縣里港鄉永春路37號民宅頂樓鋼架工程,屏東縣里港鄉永春路37號2樓頂版處,,,勞動部職業安全衛生署南區職業安全衛生中心,2018,2018-12-03,否,03
20,20,,鄧OO,F營造業(其他土木工程業),墜落、滾落,1,-,,農業資材室新建工程,-,2275,,勞動部職業安全衛生署中區職業安全衛生中心,2018,2018-12-01,否,02
21,21,,台灣杰士電池工業股份有限公司,C製造業(電池製造業),墜落、滾落,1,-,,-,充填C部生產板庫房屋頂整修（9米道邊）,,,勞動部職業安全衛生署南區職業安全衛生中心,2018,2018-12-01,否,03
22,22,,東璋營造有限公司,F營造業(建築工程業),墜落、滾落,1,佑順建設有限公司,,屏東縣東港鎮新和段99、99-10~20地號新建工程,工區內西側道路,2280,屏東縣東港鎮新和段99、99-10~20地號,勞動部職業安全衛生署南區職業安全衛生中心,2018,2018-12-01,是,03
23,23,,發財重機械有限公司,C製造業(產業用機械設備維修及安裝業),被夾、被捲,1,堂勝工程有限公司,,,,,,新北市政府勞動檢查處,2018,2018-11-29,否,05
24,24,,曾OO(即金勝16號),A農、林、漁、牧業(漁撈業),不能歸類,1,,,,宜蘭縣蘇澳鎮南方澳第三漁港,,,勞動部職業安全衛生署北區職業安全衛生中心,2018,2018-11-28,否,01
25,25,16127546,嵩集室內設計有限公司,,物體飛落,1,-,,-,吊掛作業遭物體（小金鋼）撞擊頭部,,,高雄市政府勞工局勞動檢查處,2018,2018-11-28,否,09
26,26,96973516,天文大同特殊鋼股份有限公司 ,C製造業(金屬熱處理業),被夾、被捲,1,,96973516,,桃園市平鎮區大昌路1號,2268,,勞動部職業安全衛生署北區職業安全衛生中心,2018,2018-11-27,否,01
27,27,22879495,日光營造股份有限公司,F營造業(其他土木工程業),被撞,1,臺北市政府工務局大地工程處,25652041,107年度臺北市士林及南港區山區道路維護更新預約式工程,臺北市萬溪產業道路,2266,,臺北市勞動檢查處,2018,2018-11-27,否,04
28,28,28724771,燁鋒輕合金股份有限公司,C製造業(鋁材軋延、擠型及伸線業),被夾、被捲,1,,28724771,,桃園市新屋區東明里東勢12之10號,2268,,勞動部職業安全衛生署北區職業安全衛生中心,2018,2018-11-25,否,01
29,29,,蔡○○(即威星企業工程行),F營造業(整地、基礎及結構工程業),墜落、滾落,1,隆陽汽車股份有限公司,,隆陽汽車潮州分公司銷售維修中心裝修拆除工程,屋頂處,,,勞動部職業安全衛生署南區職業安全衛生中心,2018,2018-11-22,否,03
30,30,,官田鋼鐵股份有限公司麻豆廠,C製造業(鋼鐵伸線業),衝撞,1,-,,-,廠區內,,,勞動部職業安全衛生署南區職業安全衛生中心,2018,2018-11-22,否,03
31,31,S123464991,-,,物體飛落,1,都市建設股份有限公司,86053928,文自案大樓集合住宅建築工程,在1樓被裝有砂之太空包擊中壓住,,高雄市左營區文自路與重上街口,高雄市政府勞工局勞動檢查處,2018,2018-11-22,是,09
